Lake Superior State University,32000.0
Lawrence Technological University,49100.0
Madonna University,38700.0
Marygrove College,29400.0
Rochester College,33100.0
University of Michigan-Ann Arbor,52800.0
Michigan State University,43200.0
Michigan Technological University,49000.0
University of Michigan-Dearborn,44200.0
University of Michigan-Flint,37700.0
Baker College of Muskegon,29600.0
Northern Michigan University,30800.0
Northwood University-Michigan,43700.0
Oakland University,38700.0
Olivet College,31000.0
Kuyper College,26500.0
Saginaw Valley State University,34500.0
Siena Heights University,37200.0
Spring Arbor University,39500.0
Walsh College of Accountancy and Business Administration,51900.0
Wayne State University,38700.0
Western Michigan University,38000.0
Augsburg College,41800.0
Bemidji State University,32600.0
Bethel University,42000.0
Bethel Seminary-St Paul,42000.0
Concordia College at Moorhead,36800.0
Concordia University-Saint Paul,42800.0
Martin Luther College,31400.0
Globe University-Woodbury,34700.0
Hamline University,41700.0
Minnesota State University-Mankato,38700.0
Argosy University-Twin Cities,51600.0
Metropolitan State University,40800.0
University of Minnesota-Twin Cities,43400.0
Minneapolis College of Art and Design,31200.0
University of Minnesota-Duluth,39200.0
Minnesota School of Business-Richfield,35200.0
Minnesota State University-Moorhead,34300.0
University of Northwestern-St Paul,34900.0
Northwestern Health Sciences University,40200.0
Saint Cloud State University,37300.0
Saint Johns University,47300.0
Saint Mary's University of Minnesota,40800.0
Crown College,33400.0
The College of Saint Scholastica,44700.0
University of St Thomas,45900.0
St Catherine University,43200.0
Southwest Minnesota State University,32900.0
Winona State University,37900.0
Alcorn State University,28800.0
Belhaven University,38800.0
Blue Mountain College,28400.0
Delta State University,31700.0
Jackson State University,27800.0
Millsaps College,39200.0
University of Mississippi,41600.0
University of Mississippi Medical Center,41600.0
Mississippi University for Women,33900.0
Mississippi Valley State University,24000.0
Mississippi College,37600.0
Mississippi State University,38800.0
University of Southern Mississippi,35400.0
William Carey University,33300.0
Avila University,39600.0
Baptist Bible College,25900.0
Cox College,41600.0
Calvary Bible College and Theological Seminary,32400.0
University of Central Missouri,34200.0
Cleveland University-Kansas City,37300.0
Columbia College,35100.0
Drury University,30900.0
Evangel University,30600.0
Fontbonne University,40500.0
Hannibal-LaGrange University,31000.0
Barnes-Jewish College Goldfarb School of Nursing,53800.0
Lincoln University,29000.0
Lindenwood University,40200.0
Logan University,42300.0
Maryville University of Saint Louis,43400.0
Missouri Baptist University,32000.0
Missouri Southern State University,31100.0
Missouri Valley College,30700.0
Missouri Western State University,31400.0
University of Missouri-Columbia,41800.0
University of Missouri-Kansas City,43000.0
Missouri University of Science and Technology,51400.0
University of Missouri-St Louis,38200.0
Truman State University,37300.0
Northwest Missouri State University,35200.0
Park University,43600.0
Research College of Nursing,51700.0
Rockhurst University,41500.0
Saint Louis University,46000.0
St Louis College of Pharmacy,98200.0
Southwest Baptist University,30100.0
Stephens College,27500.0
Southeast Missouri State University,33400.0
Missouri State University-Springfield,34700.0
Washington University in St Louis,56400.0
Webster University,40900.0
William Woods University,36700.0
Montana State University-Billings,30300.0
University of Great Falls,27400.0
Montana Tech of the University of Montana,39500.0
Montana State University,36200.0
The University of Montana,31800.0
Montana State University-Northern,33400.0
Rocky Mountain College,37000.0
Bellevue University,53000.0
Clarkson College,49500.0
Bryan College of Health Sciences,52300.0
Chadron State College,33200.0
